"","x"
"947","Mapkapk3"
"948","2-Mar"
"949","Marcks"
"950","Marcksl1"
"951","Mat2a"
"952","Matk"
"953","Matn4"
"954","Maz"
"955","Mbd3"
"956","Mcat"
"957","Mcemp1"
"958","Mcoln2"
"959","Mcrs1"
"960","Mdfi"
"961","Mdk"
"962","Mea1"
"963","Med16"
"964","Med25"
"965","Mef2d"
"966","Mefv"
"967","Megf6"
"968","Mesdc1"
"969","Met"
"970","Metrn"
"971","Mettl1"
"972","Mfap2"
"973","Mfap4"
"974","Mfge8"
"975","Mfsd10"
"976","Mfsd11"
"977","Mfsd3"
"978","Mfsd5"
"979","Mgat1"
"980","Mgat4b"
"981","Mgat5b"
"982","Mgll"
"983","Mgp"
"984","Mgst3"
"985","Micall2"
"986","Micu1"
"987","Midn"
"988","Mief2"
"989","Mien1"
"990","Mier2"
"991","Mif"
"992","Mkl1"
"993","Mknk2"
"994","Mllt1"
"995","Mmp10"
"996","Mmp11"
"997","Mmp12"
"998","Mmp13"
"999","Mmp14"
"1000","Mmp19"
"1001","Mmp1b"
"1002","Mmp2"
"1003","Mmp23"
"1004","Mmp3"
"1005","Mmp9"
"1006","Mn1"
"1007","Mogs"
"1008","Mon1a"
"1009","Morc4"
"1010","Mpc1"
"1011","Mpdu1"
"1012","Mpeg1"
"1013","Mpnd"
"1014","Mpst"
"1015","Mpv17l2"
"1016","Mras"
"1017","Mrc2"
"1018","Mrgprf"
"1019","Mroh1"
"1020","Mrpl12"
"1021","Mrpl2"
"1022","Mrpl20"
"1023","Mrpl23"
"1024","Mrpl4"
"1025","Mrpl52"
"1026","Mrpl53"
"1027","Mrpl54"
"1028","Mrps11"
"1029","Mrps12"
"1030","Mrps23"
"1031","Mrps24"
"1032","Mrps26"
"1033","Mrps28"
"1034","Mrps34"
"1035","Ms4a4a"
"1036","Ms4a7"
"1037","Msr1"
"1038","Mta1"
"1039","Mtch1"
"1040","Mthfd1l"
"1041","Mus81"
"1042","Mvb12a"
"1043","Mvk"
"1044","Mvp"
"1045","Mxd4"
"1046","Mxra7"
"1047","Mxra8"
"1048","Myd88"
"1049","Mydgf"
"1050","Myeov2"
"1051","Myo1b"
"1052","Myo7a"
"1053","Mzt2"
"1054","Naa10"
"1055","Naa38"
"1056","Naga"
"1057","Nagk"
"1058","Naglu"
"1059","Nagpa"
"1060","Nans"
"1061","Napa"
"1062","Naprt"
"1063","Napsa"
"1064","Nat8l"
"1065","Nbl1"
"1066","Ncaph2"
"1067","Nccrp1"
"1068","Nceh1"
"1069","Ncf2"
"1070","Ncln"
"1071","Ncs1"
"1072","Ndufa11"
"1073","Ndufa12"
"1074","Ndufa3"
"1075","Ndufa4l2"
