,GSM5429653_T1,GSM5429654_T2,GSM5429655_T3,GSM5429656_T-7P,GSM5429657_T-7V,GSM5429658_T-14P,GSM5429659_T-14V,GSM5429660_T-30P,GSM5429661_T-30V
Serpinb9b,8,1,0,0,1,0,0,0,0
Serpinb1b,20,5,1,0,1,0,2,1,0
Gm6093,94,1,0,0,1,0,0,0,0
Serpinb6c,70,4,0,0,4,0,1,1,0
Serpinb6a,12555,2067,632,84,1072,175,348,227,223
1110046J04Rik,208,25,8,2,16,9,6,5,7
Nqo2,451,115,25,3,48,12,12,3,6
Ripk1,1059,372,113,29,177,43,85,39,46
Bphl,428,64,30,13,56,16,16,17,12
Tubb2a,2186,637,143,73,451,156,186,74,73
Gm47076,2,1,1,0,0,0,0,0,0
Tubb2b,592,116,50,52,139,64,44,10,21
Psmg4,845,124,41,15,69,30,29,18,21
Slc22a23,29,2,1,6,4,7,1,0,1
Gm40909,5,0,0,0,0,0,0,0,0
Gm47127,7,2,0,0,0,0,0,0,0
Pxdc1,2191,313,105,39,246,79,117,47,65
Gm36839,39,20,5,2,7,1,8,1,1
Prpf4b,1449,298,74,47,224,65,80,59,76
Fam217a,1,1,3,0,0,1,0,0,0
Eci3,14,1,1,0,3,0,0,0,0
Eci2,1686,237,63,16,103,35,49,30,40
Gm48707,0,1,0,0,0,1,0,0,0
Cdyl,403,27,13,4,20,15,10,8,7
Gm48708,2,0,0,0,0,0,0,0,0
Rpp40,141,15,3,0,5,3,1,2,1
Ppp1r3g,5,1,0,0,0,0,0,0,0
Lyrm4,132,27,9,4,15,5,4,4,5
Fars2,411,72,22,3,39,11,15,10,13
Nrn1,1343,140,44,18,44,34,45,18,20
Gm49144,8,2,0,0,1,0,0,0,0
Gm47675,4,0,1,0,0,0,0,0,0
F13a1,370,3,12,1,0,72,10,0,1
Ly86,2,1,1,0,1,0,0,0,3
