,GSM5429653_T1,GSM5429654_T2,GSM5429655_T3,GSM5429656_T-7P,GSM5429657_T-7V,GSM5429658_T-14P,GSM5429659_T-14V,GSM5429660_T-30P,GSM5429661_T-30V
Farp1,753,63,12,7,39,17,12,14,10
Stk24,988,138,36,12,88,24,35,30,21
Slc15a1,0,1,0,0,0,0,1,1,1
Gm49035,2,0,0,0,0,0,0,0,0
Dock9,893,71,20,5,48,16,22,9,35
1810041H14Rik,7,0,0,0,1,0,0,0,0
Ubac2,738,92,25,12,41,23,17,9,13
Gpr18,5,0,1,1,0,0,3,0,0
Gpr183,0,0,5,1,0,3,0,1,0
Timm8a2,0,2,0,0,0,0,0,0,0
A330035P11Rik,12,2,1,0,3,1,3,0,0
Tm9sf2,2517,331,111,30,186,77,72,35,40
Clybl,257,47,14,4,26,10,6,4,8
AC154683.1,4,0,0,0,0,0,0,0,0
Pcca,286,44,10,4,23,2,10,11,4
Ggact,45,11,4,3,4,4,3,5,2
Tmtc4,124,20,2,1,5,2,7,2,2
4930594M22Rik,2,0,0,0,1,0,0,0,0
Nalcn,54,3,0,0,2,3,5,4,1
Itgbl1,7908,485,94,31,249,161,185,58,83
Fgf14,1,1,0,0,0,0,2,0,0
Gm28932,4,0,1,0,1,2,0,0,1
1700024B18Rik,5,4,0,0,2,1,3,0,0
Gm26870,7,0,1,0,11,3,21,8,4
Gm10722,0,0,0,0,0,0,0,0,0
Gm11168,0,0,0,0,0,0,0,0,0
Gm10721,0,0,0,0,0,0,0,0,0
Gm10719,0,0,0,0,0,0,0,0,0
Gm10717,0,0,0,0,1,0,0,0,0
Alkbh8,272,19,7,3,10,13,8,8,10
Cwf19l2,764,52,20,9,47,19,18,22,15
Gucy1a2,22,6,1,3,5,1,0,5,3
Aasdhppt,680,63,24,8,41,14,20,14,18
Kbtbd3,146,13,3,2,6,4,5,2,1
Msantd4,457,52,21,7,35,17,13,10,10
Gria4,99,30,16,1,10,4,12,2,3
Casp1,626,102,36,3,27,8,20,5,9
Casp4,915,619,168,18,180,73,113,15,27
Casp12,1453,169,46,8,69,20,28,8,24
Pdgfd,386,26,6,1,21,3,4,3,5
Dync2h1,440,37,10,4,29,5,10,9,10
Dcun1d5,2387,257,95,41,178,70,68,45,54
Mmp13,395,1,0,0,1,0,0,0,0
Mmp12,18,1,1,0,1,0,0,0,0
Mmp3,29953,4098,832,108,1487,570,513,317,213
Mmp10,17,0,0,1,0,0,0,0,0
Mmp8,123,9,4,0,0,1,19,0,1
Mmp27,1319,120,43,3,38,12,13,5,18
Tmem123,1387,269,73,17,119,48,58,18,31
Birc2,936,141,39,15,70,38,42,23,46
Birc3,1762,534,172,26,163,52,106,21,37
Yap1,1084,246,66,13,101,41,47,39,34
9230110C19Rik,30,1,4,1,4,3,3,2,2
Cep126,15,0,0,1,1,1,1,6,2
Trpc6,2,0,2,0,0,0,0,1,0
Pgr,3,0,0,1,8,0,0,10,1
Gm16485,0,1,0,0,1,0,0,2,1
Arhgap42,729,90,24,19,71,23,17,12,14
Jrkl,182,17,7,2,9,1,4,3,7
Ccdc82,451,64,23,8,31,20,16,10,17
Maml2,552,68,11,3,30,10,21,3,7
Mtmr2,457,57,15,10,48,13,16,7,16
Cep57,377,35,8,8,26,11,11,5,11
Fam76b,469,35,19,10,20,16,20,20,10
1700019J19Rik,0,0,0,0,0,0,0,0,0
Sesn3,1080,78,25,18,88,24,37,36,23
Endod1,210,17,13,4,9,21,6,6,10
Kdm4d,2,1,0,0,0,0,0,0,0
Cwc15,2133,306,95,39,157,69,72,57,35
Amotl1,2215,184,58,21,105,47,37,23,36
Gm7607,4,0,0,0,0,0,0,0,0
Piwil4,13,3,2,0,3,0,0,1,2
Fut4,24,2,0,0,0,2,0,0,1
1700012B09Rik,3,0,0,0,0,0,0,1,0
Ankrd49,325,28,7,0,14,6,6,4,2
Mre11a,196,21,10,3,14,2,9,3,2
Gm16302,1,0,0,0,0,0,0,0,2
Gpr83,0,1,1,0,2,0,0,0,0
Izumo1r,0,0,0,0,0,0,0,0,0
Panx1,360,61,13,4,40,20,33,6,10
Hephl1,3,0,0,0,0,0,0,0,0
Vstm5,8,1,0,0,0,0,0,0,0
Med17,367,36,12,6,26,12,10,10,8
4931406C07Rik,470,46,16,6,25,20,18,7,6
Taf1d,1688,526,142,70,218,66,89,70,80
Cep295,300,28,9,3,13,8,8,4,4
Smco4,573,92,23,6,65,14,15,15,21
Slc36a4,787,64,21,6,37,17,20,10,17
Fat3,89,3,0,0,9,2,4,4,1
Chordc1,603,137,51,15,88,39,43,65,26
Naalad2,235,24,7,4,37,11,17,13,11
Zfp558,7,0,0,0,1,0,1,0,0
Olfr839-ps1,2,1,0,1,1,0,1,2,3
Olfr847,0,0,0,0,0,0,0,0,0
Zfp317,179,27,8,1,18,7,9,6,3
Olfr77,1,2,1,0,0,0,2,0,0
Zfp560,845,94,22,11,69,22,27,21,31
Zfp26,243,15,7,7,19,2,8,2,2
Gm26733,13,3,3,2,2,1,2,0,2
Zfp426,210,24,6,2,10,3,3,7,5
Zfp266,867,59,14,8,40,21,12,18,17
Zfp846,169,7,3,3,5,3,1,1,1
Fbxl12os,23,2,3,1,2,0,0,2,0
Gm26521,9,0,0,0,2,0,0,1,0
Fbxl12,168,14,6,4,18,6,6,6,7
Ubl5,4703,909,296,116,521,157,175,126,131
Pin1,1148,146,52,20,91,18,45,35,26
Olfm2,12,1,0,1,11,4,19,15,6
Col5a3,3274,280,46,35,584,84,105,65,50
A230050P20Rik,270,34,11,7,23,11,18,2,3
Angptl6,65,5,3,2,3,0,3,0,1
Ppan,440,76,28,11,46,12,14,12,21
Eif3g,2103,256,98,34,137,42,52,40,40
Dnmt1,512,36,23,7,29,18,10,10,21
S1pr2,1817,136,41,34,89,29,41,22,34
Mrpl4,1208,170,52,18,95,34,46,24,22
Icam1,4123,1067,358,106,606,215,428,89,142
Gm47079,8,1,3,0,1,0,0,1,1
Icam4,13,0,0,0,3,2,0,0,1
Icam5,15,3,0,0,4,1,4,2,4
Gm26592,0,0,0,0,0,0,0,0,0
Zglp1,1,0,0,1,0,2,0,0,1
Gm49373,1,1,0,1,0,0,0,0,0
Gm38431,3,0,0,0,1,0,0,0,0
Fdx1l,2,0,1,1,1,0,0,0,0
Raver1,2,1,3,0,1,0,0,0,1
1700084C06Rik,5,2,0,0,0,0,0,0,0
Tyk2,203,37,9,5,23,6,7,6,9
Cdc37,2696,341,108,44,182,85,67,51,70
Pde4a,272,36,9,2,16,11,20,12,10
Gm16754,3,3,3,0,2,2,0,1,1
Keap1,890,93,30,9,32,29,27,13,10
S1pr5,0,0,0,0,0,0,0,0,0
Atg4d,205,18,6,4,22,9,8,1,4
Kri1,285,25,7,5,21,2,11,6,10
Cdkn2d,515,62,24,33,76,29,35,22,23
Ap1m2,1,0,0,0,0,0,0,0,0
Gm39302,3,0,0,1,0,0,0,0,0
Slc44a2,1095,77,33,11,69,56,39,21,22
Gm36198,0,2,1,0,0,3,0,1,0
Ilf3,855,164,44,16,88,31,42,23,24
Gm16853,4,1,1,0,3,0,0,2,0
Qtrt1,315,77,24,3,48,12,16,10,12
Dnm2,1258,122,43,19,81,15,44,21,20
Tmed1,1276,161,36,31,129,55,49,40,37
AB124611,2,1,3,2,3,1,3,0,0
Carm1,807,81,31,12,50,22,24,11,8
Yipf2,114,23,4,1,10,4,6,2,3
Timm29,595,46,23,7,38,14,22,5,7
Smarca4,804,104,42,13,68,35,25,17,10
Gm26511,5,2,1,1,1,0,0,3,1
Ldlr,807,118,55,22,56,17,36,26,17
Spc24,158,33,17,13,16,11,17,1,5
Kank2,1217,122,42,13,62,36,33,22,16
Dock6,189,12,5,5,26,20,11,11,10
Angptl8,14,1,0,1,5,0,0,0,1
Rab3d,402,56,19,4,36,12,15,6,7
Tmem205,907,180,53,8,70,30,33,24,13
Ccdc159,9,2,0,0,5,3,0,0,1
Plppr2,134,26,5,4,13,6,3,5,7
Swsap1,73,2,2,0,3,1,2,1,2
Epor,1,0,0,0,1,0,0,0,0
Rgl3,9,3,0,2,0,1,5,0,1
Ccdc151,2,0,0,0,0,1,0,0,0
Prkcsh,2100,251,71,28,157,52,52,27,36
Elavl3,3,12,0,4,15,3,0,6,0
Zfp653,112,20,9,2,13,2,9,3,2
Gm16845,71,6,1,0,3,1,2,1,0
Ecsit,431,36,15,5,31,5,13,9,11
Cnn1,20,0,1,1,1,0,0,0,0
Elof1,1186,176,47,24,93,33,37,25,29
Acp5,186,8,9,2,23,16,8,7,1
Pigyl,822,72,22,10,59,21,20,20,29
1810064F22Rik,0,0,0,0,0,0,0,1,0
Zfp809,119,20,12,2,24,4,2,7,6
Zfp599,2,1,0,0,3,0,0,1,0
Zfp810,121,5,0,2,2,4,2,3,1
Anln,133,9,6,3,10,20,3,1,2
Rp9,1811,266,74,27,152,57,64,33,55
9530077C05Rik,16,12,2,0,5,4,1,0,2
Bbs9,109,14,3,4,10,1,5,2,2
Bmper,215,98,24,0,52,20,27,7,12
Dpy19l1,1056,117,37,7,64,30,32,18,20
Herpud2,1098,164,47,18,79,25,37,14,31
Sept7,5190,646,216,77,393,180,187,111,109
Eepd1,67,10,1,1,10,3,3,4,2
Gm48362,0,0,0,0,0,0,0,0,0
Glb1l2,3,1,0,0,0,1,1,0,0
Acad8,436,42,15,3,29,6,8,14,5
Thyn1,394,57,19,11,30,12,15,16,17
Vps26b,564,67,19,6,24,11,9,6,11
Ncapd3,197,18,7,1,16,8,10,5,4
Jam3,654,85,28,13,72,45,32,19,18
Gm48796,5,1,2,0,2,0,1,0,0
Igsf9b,22,0,1,0,3,5,3,5,2
Opcml,1558,96,33,5,102,16,33,15,31
Ntm,33,0,1,1,2,4,0,0,0
Snx19,335,34,5,4,16,5,11,4,7
Adamts15,1106,136,19,4,68,26,31,4,12
Adamts8,146,8,3,2,4,3,0,2,2
Gm29724,3,0,0,0,0,0,0,0,0
Zbtb44,904,66,27,7,44,24,23,12,24
St14,3,0,0,0,0,0,2,1,1
Aplp2,6718,715,249,67,362,139,186,83,109
CT025678.1,6,1,0,0,0,1,0,0,0
Prdm10,70,12,4,1,16,0,2,1,2
Nfrkb,388,19,7,8,22,9,11,7,12
Barx2,59,2,3,0,5,0,3,0,0
Arhgap32,675,67,17,6,63,19,28,6,17
Fli1,95,10,1,2,9,6,7,8,3
Ets1,473,81,26,27,87,48,44,48,34
Gm3331,2,0,0,0,0,0,0,0,0
Gm27162,0,1,0,0,1,0,0,0,0
Gm27166,0,0,0,0,0,0,0,0,0
Gm47775,4,0,0,0,1,0,0,0,0
Kirrel3,7,0,0,0,0,0,0,2,0
Kirrel3os,4,0,0,1,1,0,0,0,1
St3gal4,1396,183,50,30,139,57,49,17,54
Dcps,318,35,25,11,30,14,16,10,18
Tirap,320,31,12,2,13,6,13,6,6
Gm39318,0,0,0,0,0,0,0,0,0
Srpr,2236,280,80,26,204,69,86,61,54
Foxred1,147,25,7,2,19,6,8,3,7
Fam118b,272,18,7,1,8,4,6,7,3
Rpusd4,177,15,5,4,17,2,7,5,6
4933422A05Rik,1,0,0,0,0,0,1,0,0
Gm33838,27,7,1,0,3,1,0,1,1
Cdon,1508,136,46,7,87,46,59,14,27
Ddx25,0,0,0,0,0,0,0,0,0
Pus3,88,12,6,3,9,3,4,1,3
Hyls1,44,10,7,3,16,7,3,2,4
Pate2,14,1,0,0,2,0,0,0,0
Chek1,31,6,1,2,2,4,1,2,4
Stt3a,3153,390,115,28,228,93,94,51,52
Gm26787,1,0,0,0,0,0,0,0,0
Ei24,1214,123,51,15,96,47,38,23,26
Fez1,465,84,18,8,26,19,17,18,22
Pknox2,31,13,1,0,14,4,2,2,4
Tmem218,639,40,22,8,32,16,18,16,13
Slc37a2,9,0,1,1,0,1,1,0,0
Ccdc15,45,5,1,1,11,4,4,1,2
Gm34885,0,0,0,0,0,0,0,0,0
Robo4,0,0,0,0,0,0,0,0,0
Robo3,1,0,1,0,0,0,0,0,0
Msantd2,327,55,21,11,35,13,22,7,9
Esam,1,4,1,1,2,0,2,0,1
Vsig2,0,0,0,0,0,0,0,0,0
Nrgn,0,0,0,0,0,0,0,1,0
Siae,420,57,12,4,23,11,20,6,8
Spa17,132,11,9,2,10,1,5,3,1
Tbrg1,4179,496,162,59,272,98,126,80,88
Olfr889,8,17,2,1,2,3,2,7,7
Olfr250,0,0,0,0,0,0,0,0,0
Olfr904,0,0,0,0,1,0,1,0,0
Olfr905,2,1,0,0,0,0,0,0,0
Olfr906,0,0,0,0,0,0,0,0,0
Olfr912,3,0,0,0,0,0,0,0,0
Vwa5a,1997,221,96,6,108,35,53,27,33
Olfr920,166,39,17,3,15,2,10,4,6
Olfr921,3,8,1,2,1,0,3,0,3
Olfr922,2,2,0,0,0,0,0,0,0
Olfr959,1,0,0,0,0,0,0,0,1
AW551984,636,47,19,0,37,10,13,9,9
Olfr961,2,0,0,0,0,0,0,0,0
Olfr967,0,0,0,0,0,0,0,1,0
Olfr975,0,1,0,0,0,0,0,0,0
Olfr976,1,0,0,0,1,0,0,0,0
Olfr981,3,2,0,0,0,0,0,1,1
Olfr984,6,0,1,0,0,0,2,0,0
Olfr986,1,0,0,0,0,0,0,1,2
Zfp202,50,11,0,1,2,2,1,1,2
Scn3b,130,1,0,0,1,3,0,0,0
Gramd1b,189,7,4,1,7,5,1,1,1
Gm35371,8,0,0,0,0,0,0,0,1
Clmp,6726,617,200,41,225,84,134,72,72
Gm48293,0,1,0,0,0,0,0,0,0
Hspa8,30786,8421,2797,792,4589,1627,2187,933,1006
Bsx,0,3,1,2,5,0,0,0,1
Jhy,1,0,0,0,0,0,0,0,0
Crtam,0,0,0,0,2,0,2,6,0
Ubash3b,68,14,17,10,22,15,10,16,13
1700063D05Rik,5,0,2,0,0,0,1,0,0
Gm48742,5,4,1,1,0,1,1,0,2
Gm48740,0,1,0,0,0,0,0,0,0
CT025619.1,229,59,27,9,48,24,12,25,26
Gm35835,1,0,1,0,0,0,0,0,0
Sorl1,197,8,5,2,7,3,2,0,2
Gm16214,0,0,0,0,0,0,0,0,0
Gm39321,0,0,0,0,0,0,0,0,0
Sc5d,463,79,22,16,51,12,12,12,14
Tecta,1,1,1,0,0,0,0,0,0
Tbcel,441,47,17,3,30,12,19,7,14
Grik4,1,1,0,0,0,2,0,0,0
Arhgef12,3776,539,159,47,275,94,140,66,65
Tmem136,49,3,1,2,8,2,3,3,5
Pou2f3,22,1,0,0,4,0,0,0,0
Oaf,2240,322,85,37,267,110,103,33,53
D630033O11Rik,28,1,1,1,15,2,2,1,2
Trim29,24,1,0,0,2,0,0,0,0
Gm36799,0,0,0,0,0,0,0,0,0
Nectin1,402,35,21,4,32,9,15,4,6
Gm3898,2,1,0,0,0,0,0,0,0
Gm30373,18,3,3,0,2,0,1,0,1
Gm10688,5,0,0,0,0,0,0,0,0
Gm39323,12,0,0,0,3,0,1,0,1
Thy1,13467,913,285,68,541,212,292,139,240
Gm49380,7,0,1,0,2,1,0,0,0
Usp2,566,124,44,10,76,12,31,12,16
Rnf26,604,67,22,7,36,12,10,7,7
C1qtnf5,1,0,1,0,2,0,0,0,0
Gm26737,15,6,4,5,6,2,1,200,24
Gm10687,10,4,0,0,1,0,0,0,0
Mcam,81,1,0,5,9,36,7,0,3
Cbl,1214,104,22,13,56,28,30,18,28
Pdzd3,1,0,0,0,0,0,0,0,0
Nlrx1,152,6,4,2,5,3,2,0,3
Abcg4,30,4,0,4,5,1,3,3,2
Gm48604,21,8,0,0,6,1,1,2,0
Hinfp,153,20,8,2,13,5,8,4,4
C2cd2l,191,35,13,10,27,6,11,1,14
Dpagt1,539,62,21,9,41,12,17,8,4
H2afx,451,85,39,31,49,32,47,5,15
Hmbs,437,92,22,14,36,14,18,11,7
Vps11,520,52,16,5,29,14,9,11,11
Hyou1,321,100,39,6,72,19,14,22,27
Slc37a4,185,12,4,2,14,2,5,2,2
Trappc4,1422,210,54,32,150,53,52,41,48
Rps25,27232,4950,1433,237,1207,461,571,323,445
Ccdc84,184,15,6,1,20,2,5,3,1
Foxr1,0,0,0,0,0,0,0,0,0
C030014I23Rik,92,6,2,2,5,3,6,1,3
Gm47204,105,8,2,0,3,2,2,1,1
Bcl9l,1138,157,40,16,108,32,51,13,34
Cxcr5,0,0,0,0,0,0,0,0,0
Gm47230,2,0,0,0,0,0,0,0,0
Gm47231,0,0,0,0,0,0,0,0,0
Gm47232,1,0,0,0,0,0,0,0,0
Ddx6,2528,375,119,31,186,70,79,38,50
BC049987,1,5,1,0,0,0,2,0,0
Phldb1,1303,188,56,26,128,35,56,35,35
Arcn1,2973,380,117,33,207,68,68,29,50
Ift46,980,98,21,11,54,13,21,14,15
Tmem25,5,1,3,1,2,0,1,0,0
Ttc36,7,1,0,0,1,0,0,2,0
Kmt2a,1424,188,64,23,127,58,58,41,48
AC061963.1,3,1,0,1,1,0,0,0,0
Atp5l,11118,1607,534,204,881,276,326,216,259
Gm30934,2,0,1,0,0,0,1,0,0
Ube4a,634,58,20,6,40,13,14,10,12
Cd3g,3,0,0,4,7,6,7,5,6
Cd3d,1,0,0,0,0,1,1,1,2
Cd3e,0,0,0,1,0,1,0,0,0
Mpzl2,2,1,2,0,2,0,1,0,0
Mpzl3,5,3,2,0,2,1,0,1,0
Jaml,2,0,0,1,0,1,1,0,0
Gm10684,0,0,0,0,0,0,0,0,0
Scn2b,3,0,0,0,1,0,3,0,3
Scn4b,0,0,0,2,1,0,2,1,1
Tmprss4,0,0,0,0,0,0,0,0,0
BC049352,0,0,0,0,0,0,0,0,0
Il10ra,0,0,0,2,1,1,0,0,0
1700003G13Rik,1,0,0,0,0,0,0,0,0
Tmprss13,1,0,1,0,0,0,0,0,0
Fxyd6,1093,148,53,11,148,43,96,35,33
Fxyd2,67,5,1,0,9,5,4,7,2
Dscaml1,0,0,0,0,0,0,0,0,0
Cep164,485,53,12,12,38,16,18,15,13
Bace1,890,93,29,11,51,33,29,23,23
Gm16536,217,9,5,4,7,3,7,3,4
Rnf214,278,45,14,3,34,13,10,12,9
Pcsk7,292,32,6,6,34,14,12,14,7
Tagln,2139,19,4,83,257,62,23,50,37
Gm48529,38,0,3,0,1,2,3,0,0
Sidt2,1743,201,56,20,121,41,57,27,40
A830035O19Rik,16,3,1,0,2,0,0,0,0
Pafah1b2,1562,180,62,17,107,47,57,32,42
Sik3,993,120,51,18,89,34,29,36,28
Apoa1,3,3,0,1,2,1,0,0,1
Apoc3,490,0,0,0,0,0,0,0,0
Zpr1,738,92,22,9,47,11,11,9,8
Bud13,115,10,3,3,9,3,5,4,3
Gm31374,0,0,0,0,0,0,0,0,0
Gm31816,0,0,0,0,0,0,0,0,0
Cadm1,117,7,9,1,8,55,15,6,5
Nxpe4,88,5,2,0,9,1,6,2,3
Nxpe2,2,0,0,1,0,0,0,0,0
Rexo2,3254,486,152,47,246,78,76,66,82
Rbm7,1396,203,75,20,99,33,48,27,37
Gm5617,328,37,11,5,25,12,14,8,5
Nnmt,4164,572,167,34,257,86,85,57,61
Zbtb16,1083,197,56,6,58,9,28,24,23
Usp28,116,20,2,1,8,1,4,4,2
Zw10,326,25,18,4,24,8,6,7,10
Tmprss5,4,0,0,0,0,6,0,2,0
Drd2,3,0,0,0,1,0,0,0,0
Ankk1,2,0,1,0,2,1,0,0,1
Ttc12,105,13,4,0,4,4,6,4,3
Ncam1,1523,44,12,66,175,111,78,94,81
2310003N18Rik,2,1,0,0,0,0,0,0,0
Rpl10-ps3,680,130,60,20,79,42,54,30,54
Plet1os,0,1,0,0,0,1,0,0,1
Plet1,4,5,1,0,1,0,3,1,1
Pts,554,45,12,4,44,18,17,12,14
Gm47077,0,0,0,0,0,0,0,0,0
Bco2,1,0,1,0,0,0,1,0,1
Il18,157,43,15,3,47,4,0,10,10
Sdhd,1659,237,64,26,148,46,54,39,42
Timm8b,2016,229,77,35,171,39,60,42,59
AU019823,525,64,21,7,38,14,10,8,13
Pih1d2,27,6,3,0,2,2,3,1,1
Dlat,750,106,36,4,38,17,19,7,22
Dixdc1,108,3,2,4,12,4,3,4,3
2310030G06Rik,58,2,0,0,0,2,1,0,1
Hspb2,595,59,7,15,34,28,18,11,17
Cryab,2786,331,267,149,358,187,124,78,74
1110032A03Rik,449,43,13,2,30,11,7,8,6
Fdxacb1,117,6,2,0,6,1,3,1,3
Alg9,296,27,18,4,26,2,6,2,2
Ppp2r1b,247,45,8,2,29,8,11,8,8
Sik2,293,67,17,7,31,8,24,9,12
Layn,670,105,26,0,39,9,21,20,13
Pou2af1,0,0,0,0,0,0,1,0,0
Colca2,48,5,0,1,5,1,1,1,1
2010007H06Rik,33,2,1,0,0,0,0,0,2
Arhgap20,732,78,25,4,65,9,26,7,10
Gm6980,2,0,0,0,1,0,0,0,0
Fdx1,1385,252,86,22,139,45,69,29,53
Rdx,3862,528,152,51,265,107,111,71,86
Zc3h12c,291,39,16,1,7,4,6,4,7
Ddx10,466,50,20,6,31,9,11,9,6
Exph5,4,2,0,0,1,0,0,0,2
Kdelc2,814,161,62,12,93,32,32,22,14
4930550C14Rik,23,2,0,2,4,1,1,1,0
Atm,280,28,18,0,15,6,7,4,7
Npat,268,17,7,1,20,6,9,7,9
Acat1,2060,214,78,30,132,56,59,30,48
Cul5,1217,146,48,17,93,24,37,32,26
Gm16124,147,8,1,1,6,1,1,5,1
Rab39,0,0,0,0,0,0,0,0,0
Slc35f2,1,0,0,0,0,0,0,0,0
Sln,0,0,0,0,0,0,0,0,0
Elmod1,1,0,0,0,0,0,0,0,0
Tnfaip8l3,24,2,0,0,3,0,0,0,0
Gldn,810,29,29,56,121,52,78,88,61
Dmxl2,162,19,11,2,12,3,12,12,3
Cib2,37,8,4,10,21,13,7,10,7
Idh3a,748,83,25,11,59,22,17,18,23
Acsbg1,6,2,0,0,0,0,1,2,1
Dnaja4,331,93,35,7,94,25,21,34,17
Wdr61,1085,107,49,14,79,37,32,18,35
Crabp1,2328,460,54,97,276,198,419,180,95
Ireb2,939,73,20,9,58,18,20,21,16
Hykk,129,17,8,1,8,2,1,1,5
AY074887,7,2,0,1,0,0,0,0,0
Psma4,4292,621,200,48,257,95,98,71,92
Chrna5,4,0,0,0,0,0,0,0,0
Chrnb4,0,1,0,0,0,0,0,1,0
Ube2q2,597,116,41,11,48,21,22,16,9
Fbxo22,785,123,34,9,52,22,28,9,7
Nrg4,4,1,1,0,2,0,1,0,0
Tmem266,4,0,0,2,1,0,0,0,0
Etfa,1840,267,101,54,204,51,72,76,62
Isl2,2,0,0,0,0,0,0,0,0
Scaper,260,36,9,4,31,8,20,5,6
Rcn2,1705,250,83,48,179,85,92,60,86
Pstpip1,50,7,3,1,2,1,1,1,1
Tspan3,2699,353,80,46,237,93,114,62,85
Peak1,1274,189,43,19,77,21,40,13,20
Hmg20a,639,70,17,12,42,20,24,4,7
Lingo1,20,2,0,1,7,2,1,3,0
Cspg4,118,14,1,8,28,22,10,7,12
Gm47237,3,1,0,0,0,1,0,0,0
Snx33,312,38,7,3,17,4,8,3,12
Imp3,2613,235,65,23,100,36,40,33,38
Snupn,146,18,5,2,11,6,5,2,3
Ptpn9,701,83,28,4,45,23,24,20,23
Gm10658,25,4,1,1,3,0,0,0,1
Sin3a,478,54,16,6,39,15,23,13,12
2700012I20Rik,18,4,1,1,1,1,0,0,1
Man2c1os,16,1,0,1,1,0,0,1,0
Man2c1,411,50,27,4,39,4,16,11,5
Neil1,81,5,4,1,3,5,1,2,1
Commd4,844,142,58,18,77,14,21,20,19
Trcg1,0,0,0,0,0,0,1,0,0
1700017B05Rik,331,71,28,8,25,9,22,7,10
Ppcdc,217,21,6,3,12,5,9,6,5
Scamp5,203,19,3,1,6,7,6,2,3
Rpp25,13,2,0,2,5,0,0,0,0
Cox5a,4535,653,234,78,269,100,110,78,105
Fam219b,266,32,6,2,18,6,3,2,9
Mpi,201,17,8,3,10,6,2,4,3
Scamp2,1011,147,36,18,91,26,39,19,19
Ulk3,112,15,7,2,15,2,3,1,6
Cplx3,0,0,0,0,0,0,0,1,1
Lman1l,0,0,0,0,2,0,0,0,0
Csk,583,87,29,14,48,13,21,18,13
Edc3,260,27,13,2,20,7,4,6,2
Clk3,771,138,44,14,94,30,39,16,16
Arid3b,48,8,2,0,4,3,4,1,0
Ubl7,541,63,23,4,40,13,22,9,13
Sema7a,61,14,3,0,6,3,2,0,0
Cyp11a1,6,1,0,0,3,0,0,0,0
Ccdc33,2,1,0,0,0,0,0,0,0
Stra6,17,0,1,2,0,0,0,0,0
Islr,1997,196,72,23,301,181,201,76,74
Islr2,187,9,6,0,18,3,5,1,3
Pml,293,55,15,5,13,9,12,8,7
Stoml1,301,22,8,3,20,7,7,5,6
Loxl1,8422,1194,328,34,514,224,213,130,131
6030419C18Rik,284,39,14,7,39,9,19,12,11
Cd276,790,47,14,6,49,19,17,8,13
Nptn,2813,493,140,39,321,113,100,79,83
Rec114,3,0,2,0,3,0,0,0,0
Hcn4,4,2,5,2,13,0,0,6,0
Neo1,791,85,19,15,94,43,48,15,19
Adpgk,542,60,10,10,43,16,16,13,6
Bbs4,134,14,4,1,12,3,4,4,4
Arih1,1334,357,121,40,192,89,134,56,61
Tmem202,13,1,0,0,2,1,0,0,0
Hexa,4906,747,173,49,346,145,125,48,52
Parp6,347,40,12,3,28,9,6,6,6
Pkm,7827,1243,368,113,583,155,155,114,176
Gramd2,94,5,1,1,2,1,1,0,2
Senp8,58,9,4,0,3,1,3,1,3
Myo9a,1143,105,47,13,76,39,31,15,23
Gm20275,0,0,0,0,0,0,0,0,0
Thsd4,96,6,0,2,4,6,1,8,2
9230112J17Rik,1,0,0,0,0,0,0,0,0
Lrrc49,360,55,11,5,19,10,16,5,11
B930082K07Rik,22,3,0,0,2,1,1,0,0
Larp6,494,114,27,2,40,6,25,11,9
1700036A12Rik,1,4,1,0,1,0,0,0,2
Uaca,662,86,16,7,55,34,12,16,16
Gm47923,3,0,0,0,0,0,0,0,0
AC160562.1,0,0,0,0,0,0,0,0,0
Gm10655,12,1,2,0,0,1,1,0,0
Tle3,840,114,45,12,96,41,32,39,30
Rplp1,113957,20223,5841,1159,6347,2294,2622,1462,2092
Kif23,64,7,10,7,12,13,3,2,2
Paqr5,0,1,0,0,1,0,0,0,0
Glce,446,56,17,5,37,6,11,9,8
Anp32a,1721,280,104,66,247,82,88,43,58
Coro2b,500,60,19,6,35,21,15,6,8
Itga11,254,34,9,12,56,19,29,12,3
Fem1b,672,139,43,8,79,31,23,19,11
Gm26609,5,11,2,2,3,4,2,1,0
Cln6,248,24,10,0,17,6,10,5,3
Calml4,365,48,16,1,16,4,11,3,4
Pias1,676,83,19,11,59,21,16,7,23
Map2k5,455,48,8,3,17,8,17,5,9
2300009A05Rik,445,43,13,5,36,16,13,12,8
Iqch,0,0,0,0,0,1,0,0,0
Aagab,220,22,11,1,11,7,3,3,6
Smad3,501,42,12,7,41,11,16,7,7
Gm36033,50,2,3,0,0,0,0,1,1
Smad6,201,20,8,4,19,7,14,5,9
Zwilch,40,5,4,7,1,3,0,3,0
Rpl4,20774,3180,957,252,1158,479,498,290,412
Snapc5,1048,185,58,12,84,26,41,31,21
Map2k1,1043,124,48,13,62,23,32,19,23
Gm48855,18,8,2,1,2,0,2,2,1
Uchl4,4,1,0,1,1,0,0,0,1
Tipin,890,71,20,17,34,15,25,17,26
Dis3l,143,22,11,1,10,3,5,3,3
Megf11,4,0,2,0,2,0,0,0,1
Rab11a,1873,219,86,28,102,42,35,37,35
Dennd4a,846,189,44,15,88,36,51,19,23
Slc24a1,2,0,0,1,1,0,0,3,0
Ints14,361,38,14,2,18,17,12,8,6
Hacd3,434,58,24,4,22,14,9,6,10
Dpp8,721,80,29,12,44,18,15,8,15
Igdcc4,350,32,6,3,25,14,17,11,16
